snr_db,mode_id,modulation,light_blocks_per_seed,deep_blocks_per_seed,light_pooled_blocks,deep_pooled_blocks,light_ber,deep_ber,ber_diff,ber_abs_diff,light_se,deep_se,se_reduction_ratio,se_reduction_pct,light_ci95_low,light_ci95_high,light_ci95_width,deep_ci95_low,deep_ci95_high,deep_ci95_width,ci95_width_reduction_pct,light_overlaps_target,deep_overlaps_target,overlap_status_changed,light_ci_eligible,deep_ci_eligible,eligibility_changed
4.0,2,16QAM,10000,70000,20000,140000,0.23661866861979167,0.23711697126116071,0.0004983026413690472,0.0004983026413690472,0.0007398648721710789,0.00028172433659791676,2.626201488680868,61.922190497946275,0.23516853347033634,0.238068803769247,0.0029002702989106566,0.2365647915614288,0.23766915096089264,0.00110435939946385,61.92219049794606,False,False,False,False,False,False
4.0,3,64QAM,10000,70000,20000,140000,0.3126630642361111,0.3129390756758433,0.00027601143973216,0.00027601143973216,0.0005815169706197616,0.00022132475174150705,2.627437582304105,61.94010442969077,0.3115232909736964,0.31380283749852583,0.0022795465248294233,0.3125052791624299,0.31337287218925663,0.0008675930268267074,61.94010442969008,False,False,False,False,False,False
6.0,0,BPSK,10000,70000,20000,140000,0.054877408854166664,0.05341476469494048,-0.0014626441592261868,0.0014626441592261868,0.0006440747380959379,0.0002374295182347867,2.712698668996297,63.13634052211181,0.05361502236749863,0.0561397953408347,0.002524772973336073,0.05294940283920029,0.05388012655068066,0.000930723711480369,63.13634052211155,False,False,False,False,False,False
6.0,1,QPSK,10000,70000,20000,140000,0.093897998046875,0.09256354631696428,-0.0013344517299107156,0.0013344517299107156,0.0007702776501790539,0.0002858253243233125,2.6949244333149123,62.89320814944179,0.09238825385252405,0.09540774224122595,0.003019488388701891,0.09200332868129059,0.09312376395263798,0.001120435271347392,62.89320814944155,False,False,False,False,False,False
6.0,2,16QAM,10000,70000,20000,140000,0.19721787923177084,0.19646700730096725,-0.0007508719308035872,0.0007508719308035872,0.0007844060468865973,0.00029283013373725104,2.678706719406223,62.66855222502053,0.19568044337987311,0.19875531508366856,0.0030748717037954454,0.19589306023884223,0.19704095436309227,0.0011478941242500373,62.6685522250199,False,False,False,False,False,False
6.0,3,64QAM,10000,70000,20000,140000,0.27851144205729167,0.2779982142857143,-0.0005132277715773625,0.0005132277715773625,0.0006528793139026994,0.00024390628546365822,2.676762973375599,62.64144379063473,0.2772317986020424,0.27979108551254095,0.0025592869104985594,0.27752015796620555,0.27847627060522306,0.0009561126390175145,62.64144379063542,False,False,False,False,False,False
8.0,0,BPSK,10000,70000,20000,140000,0.035283138020833334,0.0355260974702381,0.00024295944940476433,0.00024295944940476433,0.0005296034514404325,0.00020086173655341788,2.6366567397448932,62.073182112558435,0.03424511525601009,0.03632116078565658,0.002076045529646492,0.0351324084665934,0.035919786473882796,0.0007873780072893966,62.07318211255844,False,False,False,False,False,False
8.0,1,QPSK,10000,70000,20000,140000,0.06419861653645834,0.06441744559151785,0.00021882905505951622,0.00021882905505951622,0.0006687801540487223,0.0002538014489554352,2.6350525452128246,62.050092632242624,0.06288780743452284,0.06550942563839383,0.0026216182038709956,0.06391999475156519,0.06491489643147051,0.000994901679905319,62.05009263224219,False,False,False,False,False,False
8.0,2,16QAM,10000,70000,20000,140000,0.15609322916666668,0.15637942940848215,0.00028620024181547077,0.00028620024181547077,0.0007723582563855726,0.00029238558236276103,2.6415743558357554,62.14378755643186,0.15457940698415096,0.1576070513491824,0.0030276443650314455,0.15580635366705115,0.15695250514991316,0.0011461514828620123,62.14378755643224,False,False,False,False,False,False
8.0,3,64QAM,10000,70000,20000,140000,0.24066900499131944,0.24090279327876984,0.00023378828745040936,0.00023378828745040936,0.0006841613184570246,0.00025881139777465616,2.6434744541378943,62.17099815605648,0.23932804880714367,0.2420099611754952,0.0026819123683515245,0.24039552293913152,0.24141006361840817,0.0010145406792766432,62.17099815605665,False,False,False,False,False,False
10.0,0,BPSK,10000,70000,20000,140000,0.02384599609375,0.02343812779017857,-0.00040786830357142714,0.00040786830357142714,0.00044758013692656784,0.0001665787354742608,2.6868983946376903,62.782366389599076,0.022968739025373927,0.02472325316212607,0.001754514136752143,0.023111633468649022,0.02376462211170812,0.0006529886430590992,62.78236638959919,False,False,False,False,False,False
10.0,1,QPSK,10000,70000,20000,140000,0.044345751953125,0.043856270926339286,-0.0004894810267857125,0.0004894810267857125,0.0005857631379971172,0.00021883729607354181,2.6767061579862848,62.640650823162794,0.04319765620265065,0.04549384770359935,0.002296191500948702,0.04342734982603515,0.044285192026643425,0.0008578422006082775,62.640650823163114,False,False,False,False,False,False
10.0,2,16QAM,10000,70000,20000,140000,0.12029615885416667,0.11980535016741072,-0.000490808686755953,0.000490808686755953,0.000751310430408126,0.00028253663935542196,2.659161063578029,62.39415454382249,0.11882359041056674,0.1217687272977666,0.0029451368871998562,0.1192515783542741,0.12035912198054734,0.001107543626273244,62.39415454382286,False,False,False,False,False,False
10.0,3,64QAM,10000,70000,20000,140000,0.203997314453125,0.20356581333705356,-0.00043150111607143105,0.00043150111607143105,0.000711830021990426,0.00026794787041789893,2.6565989156033827,62.35788571144268,0.20260212761002375,0.20539250129622624,0.0027903736862024964,0.2030406355110345,0.20409099116307264,0.0010503556520381485,62.35788571144357,False,False,False,False,False,False
12.0,0,BPSK,10000,70000,20000,140000,0.015896712239583333,0.015193833705357143,-0.0007028785342261899,0.0007028785342261899,0.0003779366958544165,0.0001361488031065047,2.775909058552422,63.9757650950756,0.015155956315708676,0.01663746816345799,0.001481511847749313,0.014926982051268394,0.015460685359445892,0.0005337033081774974,63.97576509507567,False,False,False,False,False,False
