snr_db,in_view_1_0,in_view_0_5,in_view_0_25,view_1_0_label,view_0_5_label,view_0_25_label,view_0_25_eligible_modes,BPSK_BER,BPSK_SE,BPSK_CI_high,QPSK_BER,QPSK_SE,QPSK_CI_high,16QAM_BER,16QAM_SE,16QAM_CI_high,64QAM_BER,64QAM_SE,64QAM_CI_high
16.75,False,False,True,N/A,N/A,BPSK,BPSK,0.00523369140625,8.240029820688902e-05,0.0053951959907355025,0.010231112816220238,0.00011364353166438578,0.010453854138282434,0.03624802013578869,0.00018933498076003532,0.03661911669807836,0.08952924572172619,0.0002404187605995189,0.09000046649250125
17.0,True,True,True,QPSK,QPSK,QPSK,"BPSK,QPSK",0.004842150297619047,7.793501333255876e-05,0.004994902923750863,0.009664318266369048,0.00010909542828666287,0.009878145305810907,0.03487371768043155,0.00018504454162545283,0.03523640498201744,0.08690956256200397,0.0002381876955723027,0.08737641044532568
17.5,False,True,True,N/A,QPSK,QPSK,"BPSK,QPSK",0.004387276785714286,7.513694563118038e-05,0.004534545199151399,0.008682721819196429,0.00010442606369023139,0.008887396904029283,0.03129705752418155,0.00017756422700422887,0.031645083409109834,0.07980719788566468,0.00023287000699059732,0.08026362309936624
18.0,True,True,True,QPSK,QPSK,QPSK,"BPSK,QPSK",0.004110579427083334,7.326188581083514e-05,0.004254172723272571,0.00798158714657738,0.00010148504776268585,0.008180497840192244,0.02847270972842262,0.0001715744442103858,0.028808995639074977,0.07403287527901786,0.00022798477345533077,0.0744797254349903
20.0,True,True,True,QPSK,QPSK,QPSK,"BPSK,QPSK",0.002417680431547619,5.526557844359204e-05,0.0025260009652970593,0.004813174293154762,7.805149575955446e-05,0.004966155224843488,0.018193910435267857,0.00013863492697275214,0.01846563489213445,0.051675915333581346,0.00019935565855062686,0.052066652424340575
22.0,True,True,True,QPSK,QPSK,QPSK,"BPSK,QPSK",0.0015433407738095239,4.480000516095113e-05,0.001631148783924988,0.0030794061569940478,6.276323895609023e-05,0.0032024221053479846,0.011882529994419643,0.00011339299858844884,0.012104780271653003,0.03563529730902778,0.00017212938721307804,0.03597267090796541
22.5,False,True,True,N/A,QPSK,QPSK,"BPSK,QPSK",0.001365415736607143,4.2143849304702005e-05,0.001448017681244359,0.002729366629464286,5.9155859862933275e-05,0.002845312114795635,0.010633526320684523,0.00010727479794579724,0.010843784924658286,0.03232224779885913,0.00016500726246613176,0.03264566203329275
22.75,False,False,True,N/A,N/A,QPSK,"BPSK,QPSK",0.0013678292410714285,4.206436028159984e-05,0.0014502753872233643,0.0026950172061011904,5.926789515243949e-05,0.002811182280599972,0.010138460286458333,0.00010634887784389598,0.01034690408703237,0.030597901940724207,0.00016247634543475593,0.03091635557777633
23.0,True,True,True,16QAM,16QAM,16QAM,"BPSK,QPSK,16QAM",0.0012512044270833332,4.06350854006732e-05,0.0013308491944686526,0.002480947730654762,5.6745234191307155e-05,0.0025921683896697237,0.009555690801711309,0.00010259740133694913,0.00975678170833173,0.02917837844122024,0.00015848538044943802,0.029489009786901138
23.5,False,True,True,N/A,16QAM,16QAM,"BPSK,QPSK,16QAM",0.0011339425223214285,3.828087912974964e-05,0.0012089730454157377,0.0022451427641369047,5.407315656411084e-05,0.002351126151002562,0.008572347005208333,9.770998363758966e-05,0.008763858573138009,0.026368095858134922,0.00015185244068073453,0.026665726641869163
24.0,True,True,True,16QAM,16QAM,16QAM,"BPSK,QPSK,16QAM",0.0010026925223214286,3.626453816017884e-05,0.0010737710171153793,0.0019859072730654763,5.07756641945805e-05,0.002085427574886854,0.007642466517857143,9.228192683300876e-05,0.00782333909444984,0.023718138485863096,0.0001449621330710008,0.02400226426668226
26.0,True,True,True,16QAM,16QAM,16QAM,"BPSK,QPSK,16QAM",0.0006545805431547619,2.8948937355577676e-05,0.0007113204603716942,0.0013029622395833334,4.1117251816445205e-05,0.001383552053143566,0.0049675944010416665,7.532686734608241e-05,0.005115235061039988,0.015684299820188492,0.00012058544805730127,0.015920647298380802
28.0,True,True,True,16QAM,16QAM,16QAM,"BPSK,QPSK,16QAM",0.00039258277529761906,2.342569864774141e-05,0.0004384971446471922,0.0007745814732142857,3.2220867672336445e-05,0.0008377343738520651,0.0031084251767113094,5.881676645917006e-05,0.0032237060389712826,0.010204465835813492,9.752122137726173e-05,0.010395607429712926
28.25,False,False,True,N/A,N/A,64QAM,"BPSK,QPSK,16QAM,64QAM",0.00040340401785714285,2.3720742099705884e-05,0.0004498966723725664,0.000777192615327381,3.2611440451739314e-05,0.00084111103861279,0.0029640113467261906,5.85668964186821e-05,0.0030788024637068076,0.009578149026537698,9.548979721469016e-05,0.009765309029078491
28.5,False,True,True,N/A,64QAM,64QAM,"BPSK,QPSK,16QAM,64QAM",0.0003404389880952381,2.0684492345686444e-05,0.00038098059309278355,0.0006920991443452381,2.9655294548336534e-05,0.0007502235216599776,0.0027678292410714287,5.5577229713312825e-05,0.002876760611309522,0.009073757595486112,9.236755621764298e-05,0.009254798005672691
29.0,True,True,True,64QAM,64QAM,64QAM,"BPSK,QPSK,16QAM,64QAM",0.0002886253720238095,1.944183446772668e-05,0.0003267313675805538,0.0005791573660714286,2.7231160387183255e-05,0.0006325304404303077,0.002399862816220238,5.125499330189313e-05,0.0025003226030919485,0.00802096199156746,8.630884031372771e-05,0.008190127318582367
29.5,False,True,True,N/A,64QAM,64QAM,"BPSK,QPSK,16QAM,64QAM",0.0003053059895833333,2.0410837323399475e-05,0.0003453112307371963,0.0005937616257440477,2.8275667138273173e-05,0.0006491819333350631,0.002276490420386905,5.123742134970148e-05,0.0023769157662323196,0.00740755363343254,8.435391570856752e-05,0.0075728873082213325
