mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber
2,16QAM,4,24.0,70000,430080000,3215606,0.007476762462797619,16306,0.23294285714285715,0.007476762462797616,0.034003181107279276,0.0001285199442785012
3,64QAM,6,24.0,70000,645120000,15152039,0.02348716362847222,47310,0.6758571428571428,0.023487163628472228,0.05367180476043961,0.0002028603540173369
0,BPSK,1,26.0,70000,107520000,67421,0.0006270554315476191,1011,0.014442857142857143,0.0006270554315476194,0.010493112507624582,3.9660237391708555e-05
1,QPSK,2,26.0,70000,215040000,272883,0.0012689871651785714,2207,0.03152857142857143,0.001268987165178571,0.014997770463647147,5.668624409605747e-05
2,16QAM,4,26.0,70000,430080000,2117524,0.004923558407738096,10854,0.15505714285714287,0.004923558407738093,0.027869136721856817,0.00010533543574298714
3,64QAM,6,26.0,70000,645120000,10096012,0.015649820188492064,35873,0.5124714285714286,0.01564982018849207,0.04489095350653634,0.00016967185584979726
0,BPSK,1,28.0,70000,107520000,42305,0.0003934616815476191,586,0.008371428571428571,0.00039346168154761913,0.009017098488271253,3.408142878191743e-05
1,QPSK,2,28.0,70000,215040000,163036,0.0007581659226190477,1405,0.02007142857142857,0.0007581659226190474,0.01218237973157765,4.604506735244037e-05
2,16QAM,4,28.0,70000,430080000,1326225,0.003083670479910714,7237,0.10338571428571429,0.0030836704799107155,0.021847094018642342,8.257425377539192e-05
3,64QAM,6,28.0,70000,645120000,6623575,0.010267198350694444,25728,0.3675428571428571,0.01026719835069444,0.036337925094978296,0.00013734444708772244
0,BPSK,1,28.5,70000,107520000,36491,0.00033938802083333336,532,0.0076,0.00033938802083333336,0.00803815234903542,3.038136016571054e-05
1,QPSK,2,28.5,70000,215040000,142676,0.0006634858630952381,1210,0.017285714285714286,0.0006634858630952382,0.011231712549065798,4.245188314598778e-05
2,16QAM,4,28.5,70000,430080000,1148765,0.002671049572172619,6322,0.09031428571428571,0.0026710495721726187,0.020376544153979895,7.70160977290826e-05
3,64QAM,6,28.5,70000,645120000,5751062,0.00891471664186508,23197,0.3313857142857143,0.008914716641865083,0.03400206883048999,0.0001285157402673962
0,BPSK,1,29.0,70000,107520000,32556,0.0003027901785714286,482,0.006885714285714286,0.0003027901785714287,0.007615817530386917,2.8785084594071253e-05
1,QPSK,2,29.0,70000,215040000,128664,0.0005983258928571428,1115,0.015928571428571427,0.0005983258928571431,0.010491351335898957,3.965358078827701e-05
2,16QAM,4,29.0,70000,430080000,1047110,0.002434686569940476,5679,0.08112857142857142,0.0024346865699404765,0.019472246349890584,7.359817329942243e-05
3,64QAM,6,29.0,70000,645120000,5198946,0.00805888206845238,21303,0.30432857142857145,0.008058882068452388,0.03250495332005785,0.00012285717551805195
0,BPSK,1,29.5,70000,107520000,32640,0.00030357142857142855,479,0.006842857142857143,0.00030357142857142866,0.007604852586997627,2.8743641003574163e-05
1,QPSK,2,29.5,70000,215040000,128134,0.0005958612351190477,1032,0.014742857142857143,0.0005958612351190472,0.010583038640274024,4.00001262250746e-05
2,16QAM,4,29.5,70000,430080000,987919,0.0022970586867559523,5273,0.07532857142857143,0.0022970586867559536,0.019215954202619862,7.26294800356266e-05
3,64QAM,6,29.5,70000,645120000,4834320,0.007493675595238095,19439,0.2777,0.007493675595238092,0.03169508944352493,0.0001197961777850222
0,BPSK,1,30.0,70000,107520000,31983,0.0002974609375,400,0.005714285714285714,0.0002974609374999999,0.008069497072508347,3.049983208460119e-05
1,QPSK,2,30.0,70000,215040000,118169,0.0005495210193452381,864,0.012342857142857143,0.000549521019345238,0.010662678071739314,4.0301134982519925e-05
2,16QAM,4,30.0,70000,430080000,856702,0.0019919596354166665,4622,0.06602857142857142,0.001991959635416667,0.018317992941289756,6.923550548641326e-05
3,64QAM,6,30.0,70000,645120000,4206343,0.00652024894593254,17662,0.2523142857142857,0.006520248945932542,0.02971505829065605,0.00011231236347266282
