mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber,z_ab,fixed_budget_reached,is_stable,reliability_uncertain
2,16QAM,4,4.0,140000,860160000,203958534,0.23711697126116071,140000,1.0,0.2371169712611607,0.10541159450655835,0.00028172433659791676,0.6544917330492905,True,N/A (deprecated),False
3,64QAM,6,4.0,140000,1290240000,403766513,0.3129390756758433,140000,1.0,0.31293907567584317,0.08281213922295186,0.00022132475174150705,0.45561597852838426,True,N/A (deprecated),False
0,BPSK,1,6.0,140000,215040000,11486311,0.05341476469494048,105257,0.7518357142857143,0.05341476469494047,0.08883799107413679,0.0002374295182347867,1.5557053135303345,True,N/A (deprecated),False
1,QPSK,2,6.0,140000,430080000,39809730,0.09256354631696428,133329,0.95235,0.09256354631696428,0.10694604360813796,0.0002858253243233125,1.51161023009033,True,N/A (deprecated),False
2,16QAM,4,6.0,140000,860160000,168993061,0.19646700730096725,140000,1.0,0.19646700730096725,0.10956700329679865,0.00029283013373725104,1.4294395902429877,True,N/A (deprecated),False
3,64QAM,6,6.0,140000,1290240000,358684416,0.2779982142857143,140000,1.0,0.27799821428571425,0.09126137546856904,0.00024390628546365822,1.3097557568738485,True,N/A (deprecated),False
0,BPSK,1,8.0,140000,215040000,7639532,0.0355260974702381,82630,0.5902142857142857,0.03552609747023808,0.07515558002953374,0.00020086173655341788,1.3001583184085903,True,N/A (deprecated),False
1,QPSK,2,8.0,140000,430080000,27704655,0.06441744559151785,120339,0.8595642857142857,0.06441744559151788,0.09496380662580337,0.0002538014489554352,1.680200783285615,True,N/A (deprecated),False
2,16QAM,4,8.0,140000,860160000,134511330,0.15637942940848215,139990,0.9999285714285714,0.1563794294084821,0.10940066740338254,0.00029238558236276103,1.7330493909276141,True,N/A (deprecated),False
3,64QAM,6,8.0,140000,1290240000,310822420,0.24090279327876984,140000,1.0,0.24090279327876984,0.0968383578264831,0.00025881139777465616,1.6628618757472378,True,N/A (deprecated),False
0,BPSK,1,10.0,140000,215040000,5040135,0.02343812779017857,60599,0.43285,0.02343812779017857,0.06232805560667303,0.0001665787354742608,0.4126886051849111,True,N/A (deprecated),False
