profile,requested_blocks_per_seed,snr_db,checkpoint_idx,blocks_per_seed,pooled_blocks,mode_id,modulation,pooled_ber,pooled_se,ci95_low,ci95_high,overlaps_ber_target,z_ab
deep,70000,28.5,4,20000,40000,2,16QAM,0.0026743001302083334,0.00010084433774694372,0.0024766452282243235,0.0028719550321923432,False,1.5997242343183355
deep,70000,28.5,4,20000,40000,3,64QAM,0.008943326822916667,0.0001699333719100387,0.008610257413972991,0.009276396231860343,False,1.0482062342776455
deep,70000,28.5,5,25000,50000,0,BPSK,0.0003175390625,3.3419693621329914e-05,0.00025203646300219336,0.00038304166199780665,False,0.09857176571459583
deep,70000,28.5,5,25000,50000,1,QPSK,0.0006624479166666667,4.799545734939518e-05,0.0005683768202618521,0.0007565190130714812,False,0.6635790518805323
deep,70000,28.5,5,25000,50000,2,16QAM,0.002742828776041667,9.146785503480734e-05,0.0025635517801734444,0.0029221057719098892,False,1.4424551088442736
deep,70000,28.5,5,25000,50000,3,64QAM,0.00905546875,0.0001537613523045893,0.008754096499483005,0.009356841000516996,False,1.1532045642381537
deep,70000,28.5,6,30000,60000,0,BPSK,0.00032163628472222223,3.027558737279386e-05,0.0002622961334715463,0.0003809764359728982,False,0.713208079694459
deep,70000,28.5,6,30000,60000,1,QPSK,0.0006740614149305555,4.394423491757045e-05,0.0005879307144921175,0.0007601921153689936,False,1.3048544514201803
deep,70000,28.5,6,30000,60000,2,16QAM,0.0027766221788194444,8.420077088380177e-05,0.002611588667887193,0.002941655689751696,False,1.7032611342551065
deep,70000,28.5,6,30000,60000,3,64QAM,0.009115270543981481,0.0001411566190838865,0.008838603570577063,0.0093919375173859,False,1.2608518326725096
deep,70000,28.5,7,35000,70000,0,BPSK,0.00032785528273809525,2.847216632744329e-05,0.0002720498367363064,0.0003836607287398841,False,0.3086876355314915
deep,70000,28.5,7,35000,70000,1,QPSK,0.0006831240699404762,4.111917956531559e-05,0.0006025304779924577,0.0007637176618884947,False,0.9887732690416863
deep,70000,28.5,7,35000,70000,2,16QAM,0.0028043224516369047,7.843534987944179e-05,0.002650589165873199,0.0029580557374006104,False,1.3259600994738596
deep,70000,28.5,7,35000,70000,3,64QAM,0.009175359623015873,0.0001312966040233685,0.00891801827913007,0.009432700966901676,False,0.750510646319765
deep,70000,28.5,8,40000,80000,0,BPSK,0.0003270914713541667,2.6618234921422672e-05,0.00027491973090817826,0.0003792632118001551,False,0.28769126599491174
deep,70000,28.5,8,40000,80000,1,QPSK,0.0006779134114583334,3.838914459436757e-05,0.000602670688053373,0.0007531561348632938,False,0.996341454721393
deep,70000,28.5,8,40000,80000,2,16QAM,0.0027638916015625,7.297079212837711e-05,0.002620868848990881,0.002906914354134119,False,1.5833262398951407
deep,70000,28.5,8,40000,80000,3,64QAM,0.009089119466145833,0.0001220493258402136,0.008849902787499015,0.009328336144792651,False,1.1909411965425247
deep,70000,28.5,9,45000,90000,0,BPSK,0.0003282696759259259,2.5348812652786107e-05,0.00027858600312646517,0.00037795334872538667,False,0.6826035459379884
deep,70000,28.5,9,45000,90000,1,QPSK,0.0006773256655092592,3.637541531483864e-05,0.0006060298514921755,0.000748621479526343,False,1.4558001507094087
deep,70000,28.5,9,45000,90000,2,16QAM,0.0027603877314814813,6.87265561824566e-05,0.0026256836813638666,0.002895091781599096,False,1.7386700818285175
deep,70000,28.5,9,45000,90000,3,64QAM,0.009092768614969136,0.00011501230039691154,0.008867344506191189,0.009318192723747083,False,1.0348467790317957
deep,70000,28.5,10,50000,100000,0,BPSK,0.00032561848958333336,2.394943940975979e-05,0.00027867758834020415,0.00037255939082646256,False,0.20415089493264515
deep,70000,28.5,10,50000,100000,1,QPSK,0.0006732063802083333,3.433381140176219e-05,0.0006059121098608794,0.0007405006505557872,False,1.033151162498987
deep,70000,28.5,10,50000,100000,2,16QAM,0.0027587711588541665,6.511933423892974e-05,0.002631137263745864,0.002886405053962469,False,1.411953068088949
deep,70000,28.5,10,50000,100000,3,64QAM,0.009084643012152777,0.00010905095132329794,0.008870903147559114,0.00929838287674644,False,0.8753204932607611
deep,70000,28.5,11,55000,110000,0,BPSK,0.00033513849431818183,2.3143466285516876e-05,0.00028977730039856877,0.0003804996882377949,False,0.18387160912184627
deep,70000,28.5,11,55000,110000,1,QPSK,0.0006870827414772727,3.318064498649899e-05,0.0006220486773037346,0.0007521168056508108,False,0.6381308598400046
deep,70000,28.5,11,55000,110000,2,16QAM,0.002776540305397727,6.260137157475757e-05,0.0026538416171112025,0.002899238993684252,False,1.2074427855349132
deep,70000,28.5,11,55000,110000,3,64QAM,0.009069677241161617,0.00010428898117820229,0.00886527083805234,0.009274083644270893,False,0.9297977917451772
deep,70000,28.5,12,60000,120000,0,BPSK,0.00033665907118055554,2.2245635163898224e-05,0.000293057626259315,0.00038026051610179606,False,0.06219007860540688
deep,70000,28.5,12,60000,120000,1,QPSK,0.0006869493272569445,3.185470987788613e-05,0.0006245140958962877,0.0007493845586176013,False,0.8169166186916692
deep,70000,28.5,12,60000,120000,2,16QAM,0.002771567111545139,5.992467658776047e-05,0.0026541147454331284,0.0028890194776571496,False,1.4675295252265714
deep,70000,28.5,12,60000,120000,3,64QAM,0.009068108904803241,9.976990990604165e-05,0.0088725598813874,0.009263657928219083,False,1.197155926231693
deep,70000,28.5,13,65000,130000,0,BPSK,0.0003366386217948718,2.1323992479573696e-05,0.00029484359653490734,0.0003784336470548362,False,0.3330210279438043
deep,70000,28.5,13,65000,130000,1,QPSK,0.0006860226362179488,3.0555802250628635e-05,0.0006261332638067167,0.0007459120086291809,False,1.2847939788385458
deep,70000,28.5,13,65000,130000,2,16QAM,0.0027657101362179486,5.7516978940261e-05,0.0026529768574950372,0.00287844341494086,False,1.832103473121091
deep,70000,28.5,13,65000,130000,3,64QAM,0.009062016726762821,9.576662083800295e-05,0.008874314149920334,0.009249719303605308,False,1.6335943687824817
deep,70000,28.5,14,70000,140000,0,BPSK,0.0003404389880952381,2.0684492345686444e-05,0.00029989738309769265,0.00038098059309278355,False,0.05080924881029695
deep,70000,28.5,14,70000,140000,1,QPSK,0.0006920991443452381,2.9655294548336534e-05,0.0006339747670304985,0.0007502235216599776,False,0.9648622490667603
deep,70000,28.5,14,70000,140000,2,16QAM,0.0027678292410714287,5.5577229713312825e-05,0.0026588978708333355,0.002876760611309522,False,1.7413673165946693
deep,70000,28.5,14,70000,140000,3,64QAM,0.009073757595486112,9.236755621764298e-05,0.008892717185299532,0.009254798005672691,False,1.721839097091646
deep,70000,29.0,1,5000,10000,0,BPSK,0.000244140625,6.947531682968714e-05,0.0001079690040138132,0.00038031224598618677,False,0.1874076387624704
deep,70000,29.0,1,5000,10000,1,QPSK,0.0004980794270833333,9.658823186536517e-05,0.0003087664926272176,0.0006873923615394491,False,0.31172863506487164
deep,70000,29.0,1,5000,10000,2,16QAM,0.002166389973958333,0.0001784350227238911,0.0018166573294195066,0.0025161226184971597,False,0.48406217871758483
deep,70000,29.0,1,5000,10000,3,64QAM,0.007718240017361111,0.0003080986287864118,0.007114366704939744,0.008322113329782478,False,0.45151520335250556
deep,70000,29.0,2,10000,20000,0,BPSK,0.0002123046875,4.1802853003213566e-05,0.00013037109561370142,0.0002942382793862986,False,0.3472947161706197
deep,70000,29.0,2,10000,20000,1,QPSK,0.00044593098958333334,6.139618688961459e-05,0.0003255944632796887,0.000566267515886978,False,0.18556452287933645
deep,70000,29.0,2,10000,20000,2,16QAM,0.0020706949869791665,0.00012072940429530828,0.0018340653545603621,0.0023073246193979708,False,0.29705638393549016
deep,70000,29.0,2,10000,20000,3,64QAM,0.007603119574652778,0.0002133953811510515,0.007184864627596717,0.008021374521708839,False,0.4888164197866591
deep,70000,29.0,3,15000,30000,0,BPSK,0.00022335069444444445,3.528208885812655e-05,0.0001541978002825164,0.00029250358860637247,False,0.8242058965962722
deep,70000,29.0,3,15000,30000,1,QPSK,0.00047329644097222223,5.1267576432822673e-05,0.0003728119911638898,0.0005737808907805547,False,0.8252122613467985
deep,70000,29.0,3,15000,30000,2,16QAM,0.0022028428819444446,0.00010188727793396298,0.002003143817193877,0.002402541946695012,False,0.9718911725562284
deep,70000,29.0,3,15000,30000,3,64QAM,0.007854770688657408,0.0001788698096506644,0.007504185861742106,0.00820535551557271,False,0.8532145570927026
deep,70000,29.0,4,20000,40000,0,BPSK,0.00024127604166666666,3.262312666907678e-05,0.00017733471339527617,0.00030521736993805717,False,0.09678756467718987
deep,70000,29.0,4,20000,40000,1,QPSK,0.0004890950520833334,4.617017630192507e-05,0.00039860150653156024,0.0005795885976351065,False,0.04512236059600067
deep,70000,29.0,4,20000,40000,2,16QAM,0.0022135986328125,8.953168999787036e-05,0.002038116520416674,0.002389080745208326,False,0.5518213154376718
deep,70000,29.0,4,20000,40000,3,64QAM,0.007818204752604167,0.00015537298899960671,0.0075136736941649376,0.008122735811043396,False,1.2258290508507503
deep,70000,29.0,5,25000,50000,0,BPSK,0.00024337239583333334,2.9424219943023932e-05,0.00018570092474500644,0.00030104386692166024,False,0.5022575060227564
deep,70000,29.0,5,25000,50000,1,QPSK,0.0005009700520833333,4.14535212285132e-05,0.00041972115047544744,0.0005822189536912192,False,0.5231410929235738
deep,70000,29.0,5,25000,50000,2,16QAM,0.002257936197916667,8.100054904112238e-05,0.002099175121796067,0.0024166972740372666,False,0.08374988666832035
deep,70000,29.0,5,25000,50000,3,64QAM,0.00784017578125,0.00014016514762090423,0.007565452091913028,0.008114899470586972,False,0.7666550935613908
deep,70000,29.0,6,30000,60000,0,BPSK,0.00025565321180555557,2.7450858024359e-05,0.00020184953007781192,0.0003094568935332992,False,0.48183965252595
deep,70000,29.0,6,30000,60000,1,QPSK,0.0005260199652777778,3.885816031879552e-05,0.0004498579710529386,0.000602181959502617,False,0.5012299819197998
deep,70000,29.0,6,30000,60000,2,16QAM,0.0022970458984375,7.529522765889806e-05,0.00214946725222606,0.00244462454464894,False,0.03411744152387342
deep,70000,29.0,6,30000,60000,3,64QAM,0.007880767144097222,0.00012903091711097685,0.007627866546559708,0.008133667741634737,False,0.7645637658389124
deep,70000,29.0,7,35000,70000,0,BPSK,0.00026522507440476193,2.6042748819748002e-05,0.00021418128671805585,0.000316268862091468,False,0.6760407138330893
deep,70000,29.0,7,35000,70000,1,QPSK,0.0005396577380952381,3.66253167006585e-05,0.0004678721173619474,0.0006114433588285287,False,0.5825332506232684
deep,70000,29.0,7,35000,70000,2,16QAM,0.0023203845796130954,7.037433730832964e-05,0.0021824508784887694,0.0024583182807374213,False,0.385406057660186
deep,70000,29.0,7,35000,70000,3,64QAM,0.007903851996527779,0.00012006502304868741,0.007668524551352351,0.008139179441703205,False,0.32582015069087483
deep,70000,29.0,8,40000,80000,0,BPSK,0.0002683186848958333,2.413315271645204e-05,0.00022101770557158732,0.00031561966422007933,False,0.6835291473327447
deep,70000,29.0,8,40000,80000,1,QPSK,0.0005522379557291666,3.426636819564018e-05,0.00048507587406571186,0.0006194000373926213,False,0.6424160688511557
deep,70000,29.0,8,40000,80000,2,16QAM,0.0023471333821614582,6.644724838142053e-05,0.002216896775333874,0.0024773699889890427,False,0.7066387234729712
deep,70000,29.0,8,40000,80000,3,64QAM,0.007920853678385416,0.000112942331376443,0.007699486708887588,0.008142220647883244,False,0.16787431966502916
deep,70000,29.0,9,45000,90000,0,BPSK,0.0002594184027777778,2.2120549400485783e-05,0.00021606212595282566,0.00030277467960272995,False,0.8116547219033313
deep,70000,29.0,9,45000,90000,1,QPSK,0.0005407515914351852,3.1689462684881335e-05,0.00047864024457281785,0.0006028629382975526,False,0.8045407819050552
deep,70000,29.0,9,45000,90000,2,16QAM,0.002348781105324074,6.228367970677447e-05,0.002226705093098796,0.002470857117549352,False,0.8459822740521457
deep,70000,29.0,9,45000,90000,3,64QAM,0.007937053915895062,0.00010641382010444659,0.007728482828490347,0.008145625003299777,False,0.11492747099951889
deep,70000,29.0,10,50000,100000,0,BPSK,0.0002834830729166667,2.287383221678371e-05,0.0002386503617717706,0.0003283157840615628,False,1.4142983082746177
deep,70000,29.0,10,50000,100000,1,QPSK,0.0005703287760416666,3.184184058232483e-05,0.0005079187685003099,0.0006327387835830233,False,1.2133770610781474
deep,70000,29.0,10,50000,100000,2,16QAM,0.0023946858723958332,6.0361167516394474e-05,0.0022763779840637,0.0025129937607279666,False,1.1135511901799988
deep,70000,29.0,10,50000,100000,3,64QAM,0.008025145399305555,0.00010196307484127433,0.007825297772616657,0.008224993025994453,False,0.399682601190015
deep,70000,29.0,11,55000,110000,0,BPSK,0.0002749289772727273,2.115945258408504e-05,0.0002334564502079206,0.000316401504337534,False,1.2766109057054296
deep,70000,29.0,11,55000,110000,1,QPSK,0.0005620028409090909,2.982745651653351e-05,0.0005035410261366852,0.0006204646556814966,False,1.2181435401687277
deep,70000,29.0,11,55000,110000,2,16QAM,0.0023885298295454544,5.722101561195073e-05,0.0022763766389460307,0.002500683020144878,False,1.375565530638338
deep,70000,29.0,11,55000,110000,3,64QAM,0.00801863952020202,9.707589801788162e-05,0.007828370760086972,0.008208908280317067,False,0.723896377222126
deep,70000,29.0,12,60000,120000,0,BPSK,0.00027916124131944445,2.0308213384486563e-05,0.00023935714308585078,0.00031896533955303813,False,1.3103766014613394
deep,70000,29.0,12,60000,120000,1,QPSK,0.0005691243489583333,2.879205056269249e-05,0.000512691929855456,0.0006255567680612106,False,1.2568452981449498
deep,70000,29.0,12,60000,120000,2,16QAM,0.0023925984700520833,5.50212691469377e-05,0.0022847567825240852,0.0025004401575800814,False,1.277745716350367
deep,70000,29.0,12,60000,120000,3,64QAM,0.008014066116898148,9.305104617023051e-05,0.007831686066404496,0.0081964461673918,False,0.6798160902105084
deep,70000,29.0,13,65000,130000,0,BPSK,0.00028620292467948716,2.0072338690055677e-05,0.00024686114084697804,0.0003255447085119963,False,1.3550292027904738
deep,70000,29.0,13,65000,130000,1,QPSK,0.000576454827724359,2.8128258737150665e-05,0.0005213234405995437,0.0006315862148491743,False,1.4169531391084436
deep,70000,29.0,13,65000,130000,2,16QAM,0.002398707932692308,5.3126402373571365e-05,0.002294580184040108,0.002502835681344508,False,1.2001494617581299
deep,70000,29.0,13,65000,130000,3,64QAM,0.008016071547809828,8.952707266479746e-05,0.007840598485386825,0.008191544610232832,False,0.6087682228170771
deep,70000,29.0,14,70000,140000,0,BPSK,0.0002886253720238095,1.944183446772668e-05,0.00025051937646706525,0.0003267313675805538,False,0.7285723389769332
deep,70000,29.0,14,70000,140000,1,QPSK,0.0005791573660714286,2.7231160387183255e-05,0.0005257842917125494,0.0006325304404303077,False,0.7039175699937101
deep,70000,29.0,14,70000,140000,2,16QAM,0.002399862816220238,5.125499330189313e-05,0.0022994030293485277,0.0025003226030919485,False,0.6794203748106545
deep,70000,29.0,14,70000,140000,3,64QAM,0.00802096199156746,8.630884031372771e-05,0.007851796664552553,0.008190127318582367,False,0.4393520693727588
