mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber,z_ab,is_stable,reliability_uncertain
2,16QAM,4,23.0,70000,430080000,4177780,0.009713960193452382,20011,0.28587142857142855,0.009713960193452378,0.03876522217089927,0.00014651876768909553,1.4865527143921857,True,True
3,64QAM,6,23.0,70000,645120000,18965032,0.029397681051587302,52953,0.7564714285714286,0.029397681051587302,0.05976939888325343,0.00022590709350987174,1.475229589921083,True,False
0,BPSK,1,23.5,70000,107520000,126275,0.0011744326636904763,1742,0.024885714285714285,0.0011744326636904763,0.014409774054003182,5.446382656503348e-05,0.07120911064058079,True,False
1,QPSK,2,23.5,70000,215040000,494438,0.0022992838541666667,3863,0.05518571428571428,0.002299283854166666,0.020504253246517678,7.74987927276779e-05,0.1399301553047055,True,False
2,16QAM,4,23.5,70000,430080000,3725414,0.008662141927083334,18150,0.2592857142857143,0.008662141927083332,0.03693686833109245,0.0001396082397337257,0.2620783582405729,True,False
3,64QAM,6,23.5,70000,645120000,17083188,0.026480636160714284,50401,0.7200142857142857,0.026480636160714284,0.05708192556749403,0.00021574939915469812,0.2974167677470774,True,False
0,BPSK,1,24.0,80000,122880000,120592,0.0009813802083333332,1776,0.0222,0.0009813802083333332,0.01338570686770468,4.732562048564659e-05,1.0547913456879934,True,False
1,QPSK,2,24.0,80000,245760000,481613,0.0019596883138020835,3939,0.0492375,0.0019596883138020835,0.01880159416238313,6.647367364669259e-05,1.7442684536615962,True,False
2,16QAM,4,24.0,80000,491520000,3750967,0.007631361897786459,18739,0.2342375,0.007631361897786456,0.03436219257737742,0.00012148869693950813,2.527209136500421,True,False
3,64QAM,6,24.0,80000,737280000,17495808,0.023730208333333332,53936,0.6742,0.023730208333333336,0.05415828317154448,0.0001914784464401019,2.1565770569999536,True,False
0,BPSK,1,26.0,70000,107520000,77461,0.0007204334077380953,1011,0.014442857142857143,0.0007204334077380952,0.011944963523222376,4.514771843169187e-05,1.3520100162064745,True,False
1,QPSK,2,26.0,70000,215040000,292546,0.0013604259672619049,2146,0.03065714285714286,0.0013604259672619049,0.01630252939282239,6.161776930675551e-05,1.4223194106361816,True,False
2,16QAM,4,26.0,70000,430080000,2133954,0.004961760602678571,10769,0.15384285714285714,0.004961760602678571,0.028608987964764344,0.00010813181059429478,0.6473209770567501,True,False
3,64QAM,6,26.0,70000,645120000,10065154,0.01560198722718254,35952,0.5136,0.015601987227182534,0.0451814134614045,0.00017076969128751755,0.2809717274518112,True,False
0,BPSK,1,28.0,70000,107520000,37156,0.00034557291666666666,621,0.008871428571428572,0.00034557291666666666,0.008121626051189434,3.069686110415825e-05,0.570209305820971,True,False
1,QPSK,2,28.0,70000,215040000,154200,0.0007170758928571429,1415,0.020214285714285716,0.0007170758928571428,0.011260266203358025,4.2559805814958275e-05,0.8553248603910849,True,False
2,16QAM,4,28.0,70000,430080000,1313616,0.0030543526785714284,7035,0.1005,0.003054352678571429,0.021411638634013862,8.092838712569059e-05,0.5416329876909465,True,False
3,64QAM,6,28.0,70000,645120000,6512536,0.010095076884920635,25698,0.3671142857142857,0.010095076884920631,0.036127699207518134,0.00013654986792005467,0.5893193178806561,True,True
0,BPSK,1,28.5,60000,92160000,29642,0.00032163628472222223,490,0.008166666666666666,0.00032163628472222223,0.007415974072639447,3.027558737279386e-05,0.713208079694459,True,False
1,QPSK,2,28.5,60000,184320000,124243,0.0006740614149305555,1081,0.018016666666666667,0.0006740614149305555,0.010764095268504319,4.394423491757045e-05,1.30485445142018,True,False
2,16QAM,4,28.5,60000,368640000,1023574,0.0027766221788194444,5451,0.09085,0.0027766221788194444,0.020624892461430892,8.420077088380177e-05,1.7032611342551065,True,False
3,64QAM,6,28.5,60000,552960000,5040380,0.009115270543981481,19998,0.3333,0.009115270543981481,0.03457616905719322,0.0001411566190838865,1.2608518326725096,True,True
0,BPSK,1,29.0,50000,76800000,18691,0.00024337239583333334,316,0.00632,0.00024337239583333334,0.00657945559775065,2.9424219943023932e-05,0.5022575060227564,True,False
1,QPSK,2,29.0,50000,153600000,76949,0.0005009700520833333,765,0.0153,0.0005009700520833333,0.009269289137368611,4.14535212285132e-05,0.5231410929235738,True,False
2,16QAM,4,29.0,50000,307200000,693638,0.002257936197916667,4023,0.08046,0.002257936197916667,0.018112273387075505,8.100054904112238e-05,0.08374988666832035,True,False
3,64QAM,6,29.0,50000,460800000,3612753,0.00784017578125,15167,0.30334,0.00784017578125,0.03134187981566348,0.00014016514762090423,0.7666550935613908,True,False
0,BPSK,1,29.5,50000,76800000,22402,0.0002916927083333333,347,0.00694,0.00029169270833333337,0.007141150967844201,3.19361980033761e-05,0.024462592319141243,True,False
1,QPSK,2,29.5,50000,153600000,90646,0.0005901432291666667,747,0.01494,0.0005901432291666666,0.010184549137130692,4.554668838162211e-05,0.20954716837559398,True,False
2,16QAM,4,29.5,50000,307200000,709118,0.0023083268229166665,3750,0.075,0.0023083268229166674,0.01916531169218593,8.570987950739854e-05,0.37614457901653253,True,False
3,64QAM,6,29.5,50000,460800000,3454261,0.007496226128472222,13947,0.27894,0.007496226128472222,0.031747266862879285,0.00014197809361044916,0.5325112146035778,True,False
0,BPSK,1,30.0,60000,92160000,28223,0.00030623914930555553,368,0.0061333333333333335,0.00030623914930555553,0.0077420985130257905,3.160698482545595e-05,2.049902125886403,True,False
1,QPSK,2,30.0,60000,184320000,106877,0.0005798448350694444,788,0.013133333333333334,0.0005798448350694443,0.010616638989042726,4.334224717748687e-05,2.069818186437225,True,False
2,16QAM,4,30.0,60000,368640000,771027,0.002091544596354167,3956,0.06593333333333333,0.0020915445963541656,0.01878378492242501,7.668448083020895e-05,1.253429904721226,True,False
3,64QAM,6,30.0,60000,552960000,3692919,0.006678455946180556,15157,0.25261666666666666,0.006678455946180556,0.03036788229875338,0.00012397636033473873,0.6588208992631074,True,False
